species_key,scientific_name,domain,lineage_group,phylo_group,n_proteins,n_structures,B,budget_prior,median_eta,mean_eta,log10_median_eta,q01,q05,q25,q50,q75,q95,q99,fraction_positive_eta
schma,Schistosoma mansoni,eukaryota,metazoa,38,9406.0,9735.0,,17.0,0.7161392227193069,16.36510628693362,-0.14500253945041233,0.1719888476020003,0.2498144670403903,0.4276185956851507,0.7161392227193069,1.6074275864635523,26.742025862068964,386.07000000000374,0.9266425685732511
schpo,Schizosaccharomyces pombe,eukaryota,fungi,17,5076.0,5196.0,,0.9,0.0348795988758303,0.6613663982457471,-1.4574285182066482,0.0097243417216827,0.013068110758148,0.0215942933999423,0.0348795988758303,0.0698450026723677,0.9818181818181818,17.346857142857036,0.9615839243498818
shids,Shigella dysenteriae,bacteria,other,13,3860.0,3893.0,,0.0,,,,,,,,,,,0.0
soybn,Glycine max,eukaryota,plants,33,53909.0,55796.0,,18.0,0.849704826649529,21.33697742041519,-0.07073191478058996,0.2070035287475367,0.2755797827684478,0.479619821665069,0.849704826649529,2.1348088181512557,56.7,496.8,0.9204029011853309
spos1,Sporothrix schenckii,eukaryota,fungi,29,8494.0,8652.0,,1.5,0.0456104935417361,0.9575818566239568,-1.3409352283226903,0.0139697402556918,0.0186378924405866,0.0291675593832621,0.0456104935417361,0.0885915416699174,1.136280080213902,27.211500000000115,0.9717447610077702
staa8,Staphylococcus aureus,bacteria,other,14,2852.0,2888.0,,0.0,,,,,,,,,,,0.0
strer,Strongyloides stercoralis,eukaryota,metazoa,39,14930.0,15335.0,,17.0,0.6802748585286985,11.26720272598742,-0.16731557931727797,0.1942484873933786,0.2643091933409198,0.4450285032781915,0.6802748585286985,1.328200237861545,12.576710888743987,306.0,0.940589417280643
strr6,Streptococcus pneumoniae,bacteria,other,15,2012.0,2031.0,,0.0,,,,,,,,,,,0.0
tritr,Trichuris trichiura,eukaryota,metazoa,40,9131.0,9563.0,,17.0,0.7744937949052907,10.366227743866116,-0.11098205737435192,0.2019599013375273,0.2797078857654286,0.4699393010013302,0.7744937949052907,1.6315883334397023,14.11812152133577,256.2239999999896,0.952250574964407
tryb2,Trypanosoma brucei,eukaryota,protists,21,7961.0,8491.0,,5.0,0.1938408404086919,6.96144116230759,-0.7125547159564652,0.0558023589783787,0.0753558770375933,0.1184509150924221,0.1938408404086919,0.40137823733765,14.182352941176312,150.0,0.923878909684713
trycc,Trypanosoma cruzi,eukaryota,protists,22,18502.0,19036.0,,5.0,0.2112914131169709,7.3036454138624,-0.6751181523167985,0.0586446901932607,0.0808374632170888,0.1282931823188668,0.2112914131169709,0.4751131221719457,15.701298701298654,183.0,0.8674197384066588
wucba,Wuchereria bancrofti,eukaryota,metazoa,41,11927.0,12725.0,,17.0,1.0912554958475815,22.87006090833535,0.03792644393953012,0.2236495945954472,0.3290687135979041,0.6010877668224228,1.0912554958475815,2.7938439069734,112.2,510.0,0.8718873144965205
yeast,Saccharomyces cerevisiae,eukaryota,fungi,16,5858.0,6055.0,,0.05,0.0018401878934967,0.0359160616525764,-2.735137830825955,0.0005296893856878,0.0006913884078666,0.0011468915997629,0.0018401878934967,0.0038834166019664,0.0628145277577501,0.977550000000001,0.9532263571184705
